0.01	0.001	0.001	0.45
0.01	0.0007	0.001	0.419048
0.01	0.0003	0.001	0.417857
0.01	9e-05	0.001	0.45
0.01	0.001	0.0007	0.417857
0.01	0.0007	0.0007	0.44881
0.01	0.0003	0.0007	0.45119
0.01	9e-05	0.0007	0.420238
0.01	0.001	0.0003	0.533333
0.01	0.0007	0.0003	0.429762
0.01	0.0003	0.0003	0.432143
0.01	9e-05	0.0003	0.453571
0.01	0.001	9e-05	0.371429
0.01	0.0007	9e-05	0.390476
0.01	0.0003	9e-05	0.422619
0.01	9e-05	9e-05	0.458333
0.03	0.001	0.001	0.45119
0.03	0.0007	0.001	0.45119
0.03	0.0003	0.001	0.404762
0.03	9e-05	0.001	0.434524
0.03	0.001	0.0007	0.466667
0.03	0.0007	0.0007	0.436905
0.03	0.0003	0.0007	0.391667
0.03	9e-05	0.0007	0.435714
0.03	0.001	0.0003	0.478571
0.03	0.0007	0.0003	0.547619
0.03	0.0003	0.0003	0.478571
0.03	9e-05	0.0003	0.417857
0.03	0.001	9e-05	0.502381
0.03	0.0007	9e-05	0.444048
0.03	0.0003	9e-05	0.477381
0.03	9e-05	9e-05	0.460714
0.1	0.001	0.001	0.444048
0.1	0.0007	0.001	0.403571
0.1	0.0003	0.001	0.532143
0.1	9e-05	0.001	0.533333
0.1	0.001	0.0007	0.705952
0.1	0.0007	0.0007	0.519048
0.1	0.0003	0.0007	0.5
0.1	9e-05	0.0007	0.728571
0.1	0.001	0.0003	0.627381
0.1	0.0007	0.0003	0.609524
0.1	0.0003	0.0003	0.634524
0.1	9e-05	0.0003	0.646429
0.1	0.001	9e-05	0.646429
0.1	0.0007	9e-05	0.794048
0.1	0.0003	9e-05	0.691667
0.1	9e-05	9e-05	0.719048
0.3	0.001	0.001	0.935714
0.3	0.0007	0.001	0.746429
0.3	0.0003	0.001	0.860714
0.3	9e-05	0.001	0.891667
0.3	0.001	0.0007	0.807143
0.3	0.0007	0.0007	0.888095
0.3	0.0003	0.0007	0.761905
0.3	9e-05	0.0007	1
0.3	0.001	0.0003	0.917857
0.3	0.0007	0.0003	0.808333
0.3	0.0003	0.0003	0.975
0.3	9e-05	0.0003	0.928571
0.3	0.001	9e-05	0.908333
0.3	0.0007	9e-05	0.890476
0.3	0.0003	9e-05	0.889286
0.3	9e-05	9e-05	0.959524
0.7	0.001	0.001	0.861905
0.7	0.0007	0.001	1
0.7	0.0003	0.001	0.9
0.7	9e-05	0.001	1
0.7	0.001	0.0007	0.975
0.7	0.0007	0.0007	0.916667
0.7	0.0003	0.0007	1
0.7	9e-05	0.0007	0.841667
0.7	0.001	0.0003	0.892857
0.7	0.0007	0.0003	0.991667
0.7	0.0003	0.0003	0.917857
0.7	9e-05	0.0003	0.966667
0.7	0.001	9e-05	0.869048
0.7	0.0007	9e-05	0.929762
0.7	0.0003	9e-05	0.916667
0.7	9e-05	9e-05	0.877381
